Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN prepareForMobsim	END prepareForMobsim	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	prepareForMobsim	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
10	17:41:37	17:41:37	17:41:37	17:41:37	17:41:37	17:41:37	17:41:37	17:41:38	17:41:38	17:41:38	17:41:38	17:41:38	17:41:50	17:41:50	17:41:50	17:41:50	17:41:50	17:41:50	17:41:50	17:41:50	17:41:56	17:41:56		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:12	00:00:00	00:00:00	00:00:00	00:00:05	00:00:18
11	17:41:56	17:41:56	17:41:56	17:41:56	17:41:56	17:41:56	17:41:56	17:41:57	17:41:57	17:41:57	17:41:57	17:41:57	17:42:09	17:42:09	17:42:09	17:42:09	17:42:09	17:42:09			17:42:09	17:42:09		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:11	00:00:00	00:00:00		00:00:00	00:00:13
12	17:42:10	17:42:10	17:42:10	17:42:10	17:42:10	17:42:10	17:42:10	17:42:11	17:42:11	17:42:11	17:42:11	17:42:11	17:42:22	17:42:22	17:42:22	17:42:22	17:42:22	17:42:22			17:42:23	17:42:23		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:11	00:00:00	00:00:00		00:00:00	00:00:13
13	17:42:23	17:42:23	17:42:23	17:42:23	17:42:23	17:42:23	17:42:23	17:42:24	17:42:24	17:42:24	17:42:24	17:42:24	17:42:35	17:42:35	17:42:35	17:42:35	17:42:35	17:42:35			17:42:36	17:42:36		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:10	00:00:00	00:00:00		00:00:01	00:00:13
14	17:42:36	17:42:36	17:42:36	17:42:36	17:42:36	17:42:36	17:42:36	17:42:37	17:42:37	17:42:37	17:42:37	17:42:37	17:42:48	17:42:48	17:42:48	17:42:48	17:42:48	17:42:48			17:42:49	17:42:49		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:11	00:00:00	00:00:00		00:00:00	00:00:13
15	17:42:49	17:42:49	17:42:49	17:42:49	17:42:50	17:42:50	17:42:50	17:42:50	17:42:50	17:42:50	17:42:50	17:42:50	17:43:01	17:43:01	17:43:01	17:43:01	17:43:01	17:43:01			17:43:03	17:43:03		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:10	00:00:00	00:00:00		00:00:01	00:00:13
16	17:43:03	17:43:03	17:43:03	17:43:03	17:43:03	17:43:03	17:43:03	17:43:04	17:43:04	17:43:04	17:43:04	17:43:04	17:43:16	17:43:16	17:43:16	17:43:16	17:43:16	17:43:16			17:43:17	17:43:17		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:11	00:00:00	00:00:00		00:00:01	00:00:13
17	17:43:17	17:43:17	17:43:17	17:43:17	17:43:18	17:43:18	17:43:18	17:43:18	17:43:18	17:43:18	17:43:18	17:43:18	17:43:30	17:43:30	17:43:30	17:43:30	17:43:30	17:43:30			17:43:31	17:43:31		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:11	00:00:00	00:00:00		00:00:01	00:00:13
18	17:43:31	17:43:31	17:43:31	17:43:31	17:43:32	17:43:32	17:43:32	17:43:32	17:43:32	17:43:32	17:43:32	17:43:32	17:43:44	17:43:44	17:43:44	17:43:44	17:43:44	17:43:44			17:43:45	17:43:45		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:12	00:00:00	00:00:00		00:00:01	00:00:14
19	17:43:46	17:43:46	17:43:46	17:43:46	17:43:46	17:43:46	17:43:46	17:43:47	17:43:47	17:43:47	17:43:47	17:43:47	17:43:58	17:43:58	17:43:58	17:43:58	17:43:58	17:43:58			17:43:59	17:43:59		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:11	00:00:00	00:00:00		00:00:00	00:00:13
20	17:43:59	17:43:59	17:43:59	17:43:59	17:44:00	17:44:00	17:44:00	17:44:01	17:44:01	17:44:01	17:44:01	17:44:01	17:44:12	17:44:12	17:44:12	17:44:12	17:44:12	17:44:12	17:44:12	17:44:12	17:44:16	17:44:16		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:11	00:00:00	00:00:00	00:00:00	00:00:04	00:00:17
21	17:44:16	17:44:16	17:44:16	17:44:16	17:44:17	17:44:17	17:44:17	17:44:17	17:44:17	17:44:17	17:44:17	17:44:17	17:44:28	17:44:28	17:44:28	17:44:28	17:44:28	17:44:28			17:44:29	17:44:29		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:10	00:00:00	00:00:00		00:00:01	00:00:13
22	17:44:30	17:44:30	17:44:30	17:44:30	17:44:30	17:44:30	17:44:30	17:44:31	17:44:31	17:44:31	17:44:31	17:44:31	17:44:42	17:44:42	17:44:42	17:44:42	17:44:42	17:44:42			17:44:43	17:44:43		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:11	00:00:00	00:00:00		00:00:00	00:00:13
23	17:44:43	17:44:43	17:44:43	17:44:43	17:44:44	17:44:44	17:44:44	17:44:44	17:44:44	17:44:44	17:44:44	17:44:44	17:44:56	17:44:56	17:44:56	17:44:56	17:44:56	17:44:56			17:44:57	17:44:57		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:12	00:00:00	00:00:00		00:00:01	00:00:14
24	17:44:58	17:44:58	17:44:58	17:44:58	17:44:58	17:44:58	17:44:58	17:44:59	17:44:59	17:44:59	17:44:59	17:44:59	17:45:13	17:45:13	17:45:13	17:45:13	17:45:13	17:45:13			17:45:14	17:45:14		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:14	00:00:00	00:00:00		00:00:01	00:00:16
25	17:45:14	17:45:14	17:45:14	17:45:14	17:45:15	17:45:15	17:45:15	17:45:16	17:45:16	17:45:16	17:45:16	17:45:16	17:45:29	17:45:29	17:45:29	17:45:29	17:45:29	17:45:29			17:45:31	17:45:31		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:13	00:00:00	00:00:00		00:00:01	00:00:16
26	17:45:31	17:45:31	17:45:31	17:45:31	17:45:31	17:45:31	17:45:31	17:45:32	17:45:32	17:45:32	17:45:32	17:45:32	17:45:45	17:45:45	17:45:45	17:45:45	17:45:45	17:45:45			17:45:46	17:45:46		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:12	00:00:00	00:00:00		00:00:01	00:00:15
27	17:45:46	17:45:46	17:45:46	17:45:46	17:45:47	17:45:47	17:45:47	17:45:48	17:45:48	17:45:48	17:45:48	17:45:48	17:46:02	17:46:02	17:46:02	17:46:02	17:46:02	17:46:02			17:46:04	17:46:04		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:14	00:00:00	00:00:00		00:00:01	00:00:17
28	17:46:04	17:46:04	17:46:04	17:46:04	17:46:05	17:46:05	17:46:05	17:46:06	17:46:06	17:46:06	17:46:06	17:46:06	17:46:21	17:46:21	17:46:21	17:46:21	17:46:21	17:46:21			17:46:23	17:46:23		00:00:00	00:00:00	00:00:01	00:00:01	00:00:00	00:00:15	00:00:00	00:00:00		00:00:02	00:00:19
29	17:46:24	17:46:24	17:46:24	17:46:24	17:46:24	17:46:24	17:46:24	17:46:25	17:46:25	17:46:25	17:46:25	17:46:25	17:46:43	17:46:43	17:46:43	17:46:43	17:46:43	17:46:43			17:46:47	17:46:47		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:18	00:00:00	00:00:00		00:00:03	00:00:23
30	17:46:47	17:46:47	17:46:47	17:46:47	17:46:48	17:46:48	17:46:48	17:46:49	17:46:49	17:46:49	17:46:49	17:46:49	17:47:04	17:47:04	17:47:04	17:47:04	17:47:04	17:47:04	17:47:04	17:47:04	17:47:09	17:47:09		00:00:00	00:00:00	00:00:01	00:00:01	00:00:00	00:00:14	00:00:00	00:00:00	00:00:00	00:00:05	00:00:22
31	17:47:09	17:47:09	17:47:09	17:47:09	17:47:10	17:47:10	17:47:10	17:47:10	17:47:10	17:47:10	17:47:11	17:47:11	17:47:27	17:47:27	17:47:27	17:47:27	17:47:27	17:47:27			17:47:30	17:47:30		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:16	00:00:00	00:00:00		00:00:02	00:00:20
32	17:47:30	17:47:30	17:47:30	17:47:30	17:47:30	17:47:30	17:47:30	17:47:31	17:47:31	17:47:31	17:47:31	17:47:31	17:47:47	17:47:47	17:47:47	17:47:47	17:47:47	17:47:47			17:47:49	17:47:49		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:15	00:00:00	00:00:00		00:00:01	00:00:18
33	17:47:49	17:47:49	17:47:49	17:47:49	17:47:49	17:47:49	17:47:49	17:47:50	17:47:50	17:47:50	17:47:50	17:47:50	17:48:03	17:48:03	17:48:03	17:48:03	17:48:03	17:48:03			17:48:04	17:48:04		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:13	00:00:00	00:00:00		00:00:01	00:00:15
34	17:48:05	17:48:05	17:48:05	17:48:05	17:48:05	17:48:05	17:48:05	17:48:06	17:48:06	17:48:06	17:48:06	17:48:06	17:48:19	17:48:19	17:48:19	17:48:19	17:48:19	17:48:19			17:48:20	17:48:20		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:13	00:00:00	00:00:00		00:00:01	00:00:15
35	17:48:20	17:48:20	17:48:20	17:48:20	17:48:21	17:48:21	17:48:21	17:48:21	17:48:21	17:48:21	17:48:22	17:48:22	17:48:35	17:48:35	17:48:35	17:48:35	17:48:35	17:48:35			17:48:37	17:48:37		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:13	00:00:00	00:00:00		00:00:02	00:00:17
36	17:48:37	17:48:37	17:48:37	17:48:37	17:48:38	17:48:38	17:48:38	17:48:38	17:48:38	17:48:38	17:48:38	17:48:38	17:48:52	17:48:52	17:48:52	17:48:52	17:48:52	17:48:52			17:48:53	17:48:53		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:13	00:00:00	00:00:00		00:00:01	00:00:15
37	17:48:53	17:48:53	17:48:53	17:48:53	17:48:54	17:48:54	17:48:54	17:48:54	17:48:54	17:48:54	17:48:54	17:48:54	17:49:09	17:49:09	17:49:09	17:49:09	17:49:09	17:49:09			17:49:10	17:49:10		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:14	00:00:00	00:00:00		00:00:01	00:00:17
38	17:49:10	17:49:11	17:49:11	17:49:11	17:49:11	17:49:11	17:49:11	17:49:11	17:49:11	17:49:11	17:49:12	17:49:12	17:49:24	17:49:24	17:49:24	17:49:24	17:49:24	17:49:24			17:49:26	17:49:26		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:12	00:00:00	00:00:00		00:00:01	00:00:15
39	17:49:26	17:49:26	17:49:26	17:49:26	17:49:27	17:49:27	17:49:27	17:49:27	17:49:27	17:49:27	17:49:27	17:49:27	17:49:40	17:49:40	17:49:40	17:49:40	17:49:40	17:49:40			17:49:42	17:49:42		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:13	00:00:00	00:00:00		00:00:01	00:00:15
40	17:49:42	17:49:42	17:49:42	17:49:42	17:49:43	17:49:43	17:49:43	17:49:43	17:49:43	17:49:43	17:49:44	17:49:44	17:49:57	17:49:57	17:49:57	17:49:57	17:49:57	17:49:57	17:49:57	17:49:57	17:50:03	17:50:03		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:13	00:00:00	00:00:00	00:00:00	00:00:06	00:00:21
41	17:50:04	17:50:04	17:50:04	17:50:04	17:50:04	17:50:04	17:50:04	17:50:05	17:50:05	17:50:05	17:50:05	17:50:05	17:50:17	17:50:17	17:50:17	17:50:17	17:50:17	17:50:17			17:50:19	17:50:19		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:12	00:00:00	00:00:00		00:00:01	00:00:14
42	17:50:19	17:50:19	17:50:19	17:50:19	17:50:19	17:50:19	17:50:19	17:50:20	17:50:20	17:50:20	17:50:20	17:50:20	17:50:33	17:50:33	17:50:33	17:50:33	17:50:33	17:50:33			17:50:34	17:50:34		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:12	00:00:00	00:00:00		00:00:01	00:00:14
43	17:50:34	17:50:34	17:50:34	17:50:34	17:50:34	17:50:34	17:50:34	17:50:35	17:50:35	17:50:35	17:50:35	17:50:35	17:50:49	17:50:49	17:50:49	17:50:49	17:50:49	17:50:49			17:50:50	17:50:50		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:13	00:00:00	00:00:00		00:00:01	00:00:16
44	17:50:50	17:50:50	17:50:50	17:50:50	17:50:51	17:50:51	17:50:51	17:50:51	17:50:51	17:50:51	17:50:51	17:50:51	17:51:05	17:51:05	17:51:05	17:51:05	17:51:05	17:51:05			17:51:07	17:51:07		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:13	00:00:00	00:00:00		00:00:01	00:00:16
45	17:51:07	17:51:07	17:51:07	17:51:07	17:51:08	17:51:08	17:51:08	17:51:08	17:51:08	17:51:08	17:51:08	17:51:08	17:51:24	17:51:24	17:51:24	17:51:24	17:51:24	17:51:24			17:51:25	17:51:25		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:15	00:00:00	00:00:00		00:00:01	00:00:18
46	17:51:25	17:51:25	17:51:25	17:51:25	17:51:26	17:51:26	17:51:26	17:51:26	17:51:26	17:51:26	17:51:26	17:51:26	17:51:39	17:51:39	17:51:39	17:51:39	17:51:39	17:51:39			17:51:41	17:51:41		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:13	00:00:00	00:00:00		00:00:01	00:00:15
47	17:51:41	17:51:41	17:51:41	17:51:41	17:51:41	17:51:41	17:51:41	17:51:41	17:51:41	17:51:41	17:51:41	17:51:41	17:51:55	17:51:55	17:51:55	17:51:55	17:51:55	17:51:55			17:51:56	17:51:56		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:13	00:00:00	00:00:00		00:00:01	00:00:15
48	17:51:57	17:51:57	17:51:57	17:51:57	17:51:57	17:51:57	17:51:57	17:51:57	17:51:57	17:51:57	17:51:57	17:51:57	17:52:10	17:52:10	17:52:10	17:52:10	17:52:10	17:52:10			17:52:11	17:52:11		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:12	00:00:00	00:00:00		00:00:01	00:00:14
49	17:52:11	17:52:11	17:52:11	17:52:11	17:52:11	17:52:11	17:52:12	17:52:12	17:52:12	17:52:12	17:52:12	17:52:12	17:52:25	17:52:25	17:52:25	17:52:25	17:52:25	17:52:25			17:52:27	17:52:27		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:13	00:00:00	00:00:00		00:00:02	00:00:15
50	17:52:28	17:52:28	17:52:28	17:52:28	17:52:28	17:52:28	17:52:28	17:52:28	17:52:28	17:52:28	17:52:28	17:52:28	17:52:41	17:52:41	17:52:41	17:52:41	17:52:41	17:52:41	17:52:41	17:52:41	17:52:45	17:52:45		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:12	00:00:00	00:00:00	00:00:00	00:00:04	00:00:17
