Iteration	PT_standardBikeShare	bike	car	car_passenger	pt	sharing:standardBikeShare	standardBikeShare_PT	standardBikeShare_PT_standardBikeShare	walk
11	9.108297659167502E-5	7.286638127334002E-4	0.6982420985517807	0.08142818107295746	0.04545040531924583	0.005191729665725476	0.0010929957191001002	9.108297659167502E-5	0.1676837599052737
12	0.0	7.286638127334002E-4	0.6979688496220057	0.08142818107295746	0.04526823936606248	0.0047363147827671	0.001184078695691775	9.108297659167502E-5	0.16859458967119045
13	9.108297659167502E-5	0.0010019127425084252	0.6982420985517807	0.08142818107295746	0.044994990436287456	0.005738227525275526	0.0012751616722834502	9.108297659167502E-5	0.16713726204572366
14	2.7324892977502506E-4	8.197467893250751E-4	0.6966936879497222	0.08142818107295746	0.045723654249020855	0.006102559431642226	0.001184078695691775	0.0	0.16777484288186537
15	2.7324892977502506E-4	7.286638127334002E-4	0.6965115219965389	0.08142818107295746	0.045723654249020855	0.005556061572092176	0.0012751616722834502	0.0	0.1685035066945988
16	1.8216595318335004E-4	7.286638127334002E-4	0.6968758539029055	0.08142818107295746	0.04508607341287913	0.005191729665725476	0.0013662446488751253	9.108297659167502E-5	0.16905000455414884
17	2.7324892977502506E-4	0.0010019127425084252	0.6959650241369888	0.08142818107295746	0.04526823936606248	0.005373895618908826	0.0012751616722834502	9.108297659167502E-5	0.16932325348392385
18	2.7324892977502506E-4	0.001184078695691775	0.6949631113944804	0.08142818107295746	0.04681664996812096	0.005100646689133801	0.001184078695691775	9.108297659167502E-5	0.16895892157755715
19	1.8216595318335004E-4	0.0014573276254668003	0.6938701156753803	0.08142818107295746	0.04599690317879588	0.005191729665725476	0.0010929957191001002	9.108297659167502E-5	0.170689498132799
20	9.108297659167502E-5	0.0012751616722834502	0.6948720284178886	0.08142818107295746	0.045359322342654156	0.005556061572092176	8.197467893250751E-4	0.0	0.1705984151562073
21	9.108297659167502E-5	0.0012751616722834502	0.6966026049731305	0.08142818107295746	0.04581473722561253	0.005556061572092176	9.108297659167502E-4	0.0	0.16832134074141544
22	9.108297659167502E-5	0.0014573276254668003	0.694507696511522	0.08142818107295746	0.045905820202204205	0.005100646689133801	0.0010929957191001002	9.108297659167502E-5	0.1703251662264323
23	9.108297659167502E-5	0.0010929957191001002	0.6934147007924218	0.08142818107295746	0.047089898897895985	0.005191729665725476	0.001184078695691775	9.108297659167502E-5	0.17041624920302395
24	9.108297659167502E-5	0.001184078695691775	0.6938701156753803	0.08142818107295746	0.046907732944712635	0.0047363147827671	8.197467893250751E-4	9.108297659167502E-5	0.17087166408598234
25	9.108297659167502E-5	0.0010019127425084252	0.6939611986519719	0.08142818107295746	0.047454230804262684	0.004918480735950451	7.286638127334002E-4	9.108297659167502E-5	0.1703251662264323
26	9.108297659167502E-5	9.108297659167502E-4	0.6925038710265051	0.08142818107295746	0.04836506057017943	0.005373895618908826	8.197467893250751E-4	9.108297659167502E-5	0.17041624920302395
27	9.108297659167502E-5	9.108297659167502E-4	0.6916841242371801	0.08142818107295746	0.04754531378085436	0.005647144548683851	0.0010019127425084252	9.108297659167502E-5	0.17160032789871574
28	9.108297659167502E-5	0.0010929957191001002	0.6943255305583387	0.08142818107295746	0.04736314782767101	0.004918480735950451	8.197467893250751E-4	1.8216595318335004E-4	0.16977866836688224
29	9.108297659167502E-5	0.0012751616722834502	0.6936879497221969	0.08142818107295746	0.046907732944712635	0.005191729665725476	0.0010929957191001002	0.0	0.1703251662264323
30	9.108297659167502E-5	0.0016394935786501503	0.6925038710265051	0.08142818107295746	0.046543401038345936	0.005100646689133801	0.001184078695691775	1.8216595318335004E-4	0.1713270789689407
31	9.108297659167502E-5	0.0016394935786501503	0.6916841242371801	0.08142818107295746	0.04718098187448766	0.005282812642317151	0.0010929957191001002	9.108297659167502E-5	0.17150924492212405
32	1.8216595318335004E-4	0.0014573276254668003	0.6935057837690136	0.08142818107295746	0.04627015210857091	0.005191729665725476	9.108297659167502E-4	9.108297659167502E-5	0.170962747062574
33	2.7324892977502506E-4	0.0010019127425084252	0.6927771199562802	0.08142818107295746	0.047089898897895985	0.005556061572092176	9.108297659167502E-4	9.108297659167502E-5	0.17087166408598234
34	1.8216595318335004E-4	0.0012751616722834502	0.6898624647053466	0.08142818107295746	0.04699881592130431	0.006011476455050551	9.108297659167502E-4	9.108297659167502E-5	0.17323982147736589
35	2.7324892977502506E-4	0.0014573276254668003	0.6892248838692049	0.08142818107295746	0.04827397759358776	0.005373895618908826	0.0010019127425084252	2.7324892977502506E-4	0.17269332361781584
36	3.643319063667001E-4	0.0014573276254668003	0.6902267966117133	0.08142818107295746	0.049549139265871206	0.005100646689133801	0.0010019127425084252	2.7324892977502506E-4	0.1705984151562073
37	2.7324892977502506E-4	0.0012751616722834502	0.6885873030330631	0.08142818107295746	0.04964022224246288	0.005556061572092176	0.0010929957191001002	2.7324892977502506E-4	0.17187357682849075
38	2.7324892977502506E-4	0.001184078695691775	0.6884962200564715	0.08142818107295746	0.05018672010201294	0.005373895618908826	0.001184078695691775	2.7324892977502506E-4	0.17160032789871574
39	2.7324892977502506E-4	8.197467893250751E-4	0.690864377447855	0.08142818107295746	0.04964022224246288	0.005191729665725476	0.001184078695691775	2.7324892977502506E-4	0.1703251662264323
40	2.7324892977502506E-4	0.0010019127425084252	0.6926860369796884	0.08142818107295746	0.04927589033609618	0.0046452318061754256	0.0010929957191001002	9.108297659167502E-5	0.1695054194371072
41	3.643319063667001E-4	0.0010929957191001002	0.6921395391201385	0.08142818107295746	0.04854722652336278	0.004371982876400401	0.0010019127425084252	9.108297659167502E-5	0.170962747062574
42	4.554148829583751E-4	0.0010929957191001002	0.6916841242371801	0.08142818107295746	0.04827397759358776	0.004371982876400401	0.0010019127425084252	9.108297659167502E-5	0.17160032789871574
43	3.643319063667001E-4	9.108297659167502E-4	0.6886783860096548	0.08142818107295746	0.04872939247654613	0.005009563712542126	0.0010019127425084252	9.108297659167502E-5	0.17378631933691593
44	3.643319063667001E-4	0.001184078695691775	0.69004463065853	0.08142818107295746	0.04790964568722106	0.005647144548683851	0.0010019127425084252	9.108297659167502E-5	0.17232899171144914
45	4.554148829583751E-4	0.0013662446488751253	0.6865834775480463	0.08142818107295746	0.049366973312687856	0.005920393478458876	9.108297659167502E-4	9.108297659167502E-5	0.1738774023135076
46	4.554148829583751E-4	0.0013662446488751253	0.6865834775480463	0.08142818107295746	0.049366973312687856	0.005920393478458876	9.108297659167502E-4	9.108297659167502E-5	0.1738774023135076
47	4.554148829583751E-4	0.0013662446488751253	0.6865834775480463	0.08142818107295746	0.049366973312687856	0.005920393478458876	9.108297659167502E-4	9.108297659167502E-5	0.1738774023135076
48	4.554148829583751E-4	0.0013662446488751253	0.6865834775480463	0.08142818107295746	0.049366973312687856	0.005920393478458876	9.108297659167502E-4	9.108297659167502E-5	0.1738774023135076
49	4.554148829583751E-4	0.0013662446488751253	0.6865834775480463	0.08142818107295746	0.049366973312687856	0.005920393478458876	9.108297659167502E-4	9.108297659167502E-5	0.1738774023135076
50	4.554148829583751E-4	0.0013662446488751253	0.6865834775480463	0.08142818107295746	0.049366973312687856	0.005920393478458876	9.108297659167502E-4	9.108297659167502E-5	0.1738774023135076
