person_id;person_trip_id;origin_x;origin_y;destination_x;destination_y;departure_time;travel_time;vehicle_distance;routed_distance;mode;preceding_purpose;following_purpose;returning;euclidean_distance
192886;0;1231023.3021778704;6123201.045725143;1230049.0186446987;6117803.045122665;49628.0;701.0;6875.158019684629;6875.158019684629;car;home;shop;false;5485.22004183553
99261;2;1176120.5930861342;6108251.359632463;1176602.6117672771;6109584.495979633;50111.0;220.0;1751.6671742190365;1751.6671742190365;car;home;work;false;1417.601682108385
284902;5;1228556.1241378514;6198923.383051999;1228478.9562565763;6198785.898669284;50118.0;215.0;0.0;258.39963832167143;walk;leisure;work;false;157.66051310022917
226197;0;1237922.9963514684;6166864.346531728;1238148.2009448828;6166514.768082447;50255.0;83.0;0.0;100.09019718265141;walk;home;leisure;false;415.83915291447136
261662;0;1210334.137167871;6145968.207865581;1210022.5978208068;6146263.0507657975;50063.0;276.0;0.0;331.5825453416972;walk;home;other;false;428.93950689732657
262707;0;1230439.904578256;6112036.74949202;1230049.0186446987;6117803.045122665;49667.0;677.0;7324.193078312063;7324.193078312063;car;home;shop;false;5779.529142849671
184158;2;1225956.2599256518;6194536.451936955;1228692.6291608205;6199204.222212562;49099.0;1253.0;10496.241603168108;10496.241603168108;car;home;work;false;5410.711222845333
52520;2;1193227.1277896797;6081472.931561559;1192199.5436860658;6082228.608688127;49903.0;450.0;1934.1441961016292;1934.1441961016292;car;home;work;false;1275.5300896559363
190112;2;1231360.8240850419;6123244.147925308;1231023.3021778704;6123201.045725143;50012.0;346.0;0.0;415.5790770442161;walk;home;work;false;340.2628946561203
14376;2;1216128.7651967688;6051870.150106307;1216526.2066819225;6051994.368479067;49924.0;434.0;0.0;521.2552275037559;walk;home;work;false;416.40117465305093
252868;5;1229249.8764994699;6206233.026994389;1229307.9142410695;6205001.571508113;48734.0;1631.0;0.0;1957.8343770222282;walk;leisure;work;false;1232.8223692517138
229191;2;1207360.1255513267;6154382.386827044;1207524.64741965;6153633.706925917;50154.0;216.0;920.237811520833;920.237811520833;car;home;work;false;766.5435666078147
