Iteration	PT_standardBikeShare	PT_standardeScooter	bike	car	car_passenger	pt	sharing:standardBikeShare	sharing:standardeScooter	standardBikeShare_PT	standardBikeShare_PT_standardBikeShare	standardeScooter_PT	standardeScooter_PT_standardeScooter	walk
32	2.7324892977502506E-4	0.02522998451589398	4.554148829583751E-4	0.5464067765734584	0.08142818107295746	0.03615994170689498	0.10073777211039257	0.04444849257673741	6.375808361417251E-4	9.108297659167502E-5	0.0018216595318335004	4.554148829583751E-4	0.16185444940340651
33	2.7324892977502506E-4	0.024774569632935603	4.554148829583751E-4	0.5400309682120412	0.08142818107295746	0.03552236087075326	0.10483650605701794	0.04581473722561253	7.286638127334002E-4	9.108297659167502E-5	0.002094908461608525	8.197467893250751E-4	0.16312961107568996
34	2.7324892977502506E-4	0.025138901539302306	6.375808361417251E-4	0.5390290554695327	0.08142818107295746	0.036615356589853355	0.10192185080608435	0.046725566991529285	8.197467893250751E-4	0.0	0.0013662446488751253	0.0010929957191001002	0.16495127060752346
35	2.7324892977502506E-4	0.025685399398852355	6.375808361417251E-4	0.5385736405865744	0.08142818107295746	0.036615356589853355	0.10119318699335095	0.04681664996812096	5.464978595500501E-4	0.0	0.0015484106020584752	0.001184078695691775	0.1654977684670735
36	2.7324892977502506E-4	0.025685399398852355	5.464978595500501E-4	0.5434010383459331	0.08142818107295746	0.03688860551962838	0.09937152746151744	0.047272064851079335	5.464978595500501E-4	0.0	0.0015484106020584752	0.0010019127425084252	0.16203661535658986
37	4.554148829583751E-4	0.02522998451589398	4.554148829583751E-4	0.5458602787139084	0.08142818107295746	0.036615356589853355	0.09645687221058384	0.04790964568722106	4.554148829583751E-4	0.0	0.0016394935786501503	8.197467893250751E-4	0.16267419619273157
38	3.643319063667001E-4	0.02431915474997723	6.375808361417251E-4	0.5522360870753257	0.08142818107295746	0.03497586301120321	0.09317788505328355	0.04809181164040441	6.375808361417251E-4	0.0	0.0016394935786501503	9.108297659167502E-4	0.16158120047363148
39	3.643319063667001E-4	0.02504781856271063	3.643319063667001E-4	0.5546953274433009	0.08142818107295746	0.03470261408142818	0.09153839147463338	0.04800072866381273	5.464978595500501E-4	0.0	0.0016394935786501503	9.108297659167502E-4	0.16076145368430642
40	2.7324892977502506E-4	0.024683486656343928	3.643319063667001E-4	0.5495946807541671	0.08142818107295746	0.034520448128244834	0.09554604244466709	0.04790964568722106	6.375808361417251E-4	0.0	0.0016394935786501503	0.0010019127425084252	0.16240094726295656
41	2.7324892977502506E-4	0.024228071773385554	3.643319063667001E-4	0.5488660169414337	0.08142818107295746	0.03543127789416158	0.0951817105383004	0.047089898897895985	3.643319063667001E-4	0.0	0.0016394935786501503	9.108297659167502E-4	0.16422260679479006
42	9.108297659167502E-5	0.02541215046907733	2.7324892977502506E-4	0.5469532744330085	0.08142818107295746	0.035886692777119956	0.09345113398305857	0.04827397759358776	3.643319063667001E-4	0.0	0.0016394935786501503	7.286638127334002E-4	0.1654977684670735
43	1.8216595318335004E-4	0.026049731305219054	2.7324892977502506E-4	0.5434010383459331	0.08142818107295746	0.036979688496220055	0.09654795518717552	0.04891155842972948	4.554148829583751E-4	0.0	0.0015484106020584752	5.464978595500501E-4	0.16367610893524
44	2.7324892977502506E-4	0.02668731214136078	3.643319063667001E-4	0.5436742872757082	0.08142818107295746	0.03670643956644503	0.09764095090627561	0.04818289461699608	2.7324892977502506E-4	0.0	0.0013662446488751253	6.375808361417251E-4	0.16276527916932326
45	1.8216595318335004E-4	0.02632298023499408	4.554148829583751E-4	0.5435832042991164	0.08142818107295746	0.03779943528554513	0.09791419983605064	0.04800072866381273	4.554148829583751E-4	0.0	0.0010019127425084252	7.286638127334002E-4	0.16212769833318152
46	1.8216595318335004E-4	0.02632298023499408	4.554148829583751E-4	0.5435832042991164	0.08142818107295746	0.03779943528554513	0.09791419983605064	0.04800072866381273	4.554148829583751E-4	0.0	0.0010019127425084252	7.286638127334002E-4	0.16212769833318152
47	1.8216595318335004E-4	0.02632298023499408	4.554148829583751E-4	0.5435832042991164	0.08142818107295746	0.03779943528554513	0.09791419983605064	0.04800072866381273	4.554148829583751E-4	0.0	0.0010019127425084252	7.286638127334002E-4	0.16212769833318152
48	1.8216595318335004E-4	0.02632298023499408	4.554148829583751E-4	0.5435832042991164	0.08142818107295746	0.03779943528554513	0.09791419983605064	0.04800072866381273	4.554148829583751E-4	0.0	0.0010019127425084252	7.286638127334002E-4	0.16212769833318152
49	1.8216595318335004E-4	0.02632298023499408	4.554148829583751E-4	0.5435832042991164	0.08142818107295746	0.03779943528554513	0.09791419983605064	0.04800072866381273	4.554148829583751E-4	0.0	0.0010019127425084252	7.286638127334002E-4	0.16212769833318152
50	1.8216595318335004E-4	0.02632298023499408	4.554148829583751E-4	0.5435832042991164	0.08142818107295746	0.03779943528554513	0.09791419983605064	0.04800072866381273	4.554148829583751E-4	0.0	0.0010019127425084252	7.286638127334002E-4	0.16212769833318152
