Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN prepareForMobsim	END prepareForMobsim	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	prepareForMobsim	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
26	18:03:13	18:03:13	18:03:13	18:03:13	18:03:13	18:03:13	18:03:13	18:03:14	18:03:14	18:03:14	18:03:14	18:03:14	18:03:25	18:03:25	18:03:25	18:03:25	18:03:25	18:03:25			18:03:27	18:03:27		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:11	00:00:00	00:00:00		00:00:01	00:00:14
27	18:03:27	18:03:27	18:03:27	18:03:27	18:03:28	18:03:28	18:03:28	18:03:28	18:03:28	18:03:28	18:03:28	18:03:28	18:03:43	18:03:43	18:03:43	18:03:43	18:03:43	18:03:43			18:03:44	18:03:44		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:14	00:00:00	00:00:00		00:00:01	00:00:17
28	18:03:45	18:03:45	18:03:45	18:03:45	18:03:45	18:03:45	18:03:45	18:03:46	18:03:46	18:03:46	18:03:46	18:03:46	18:03:57	18:03:57	18:03:57	18:03:57	18:03:57	18:03:57			18:03:59	18:03:59		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:11	00:00:00	00:00:00		00:00:02	00:00:14
29	18:04:00	18:04:00	18:04:00	18:04:00	18:04:01	18:04:01	18:04:01	18:04:01	18:04:01	18:04:01	18:04:01	18:04:01	18:04:12	18:04:12	18:04:12	18:04:12	18:04:12	18:04:12			18:04:14	18:04:14		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:11	00:00:00	00:00:00		00:00:01	00:00:13
30	18:04:14	18:04:14	18:04:14	18:04:14	18:04:14	18:04:14	18:04:14	18:04:15	18:04:15	18:04:15	18:04:15	18:04:15	18:04:25	18:04:25	18:04:25	18:04:25	18:04:25	18:04:25	18:04:25	18:04:25	18:04:30	18:04:30		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:10	00:00:00	00:00:00	00:00:00	00:00:04	00:00:16
31	18:04:30	18:04:30	18:04:30	18:04:30	18:04:31	18:04:31	18:04:31	18:04:31	18:04:31	18:04:31	18:04:32	18:04:32	18:04:42	18:04:42	18:04:42	18:04:42	18:04:42	18:04:42			18:04:43	18:04:43		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:10	00:00:00	00:00:00		00:00:01	00:00:13
32	18:04:43	18:04:43	18:04:43	18:04:43	18:04:44	18:04:44	18:04:44	18:04:45	18:04:45	18:04:45	18:04:45	18:04:45	18:04:55	18:04:55	18:04:55	18:04:55	18:04:55	18:04:55			18:04:57	18:04:57		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:10	00:00:00	00:00:00		00:00:01	00:00:13
33	18:04:57	18:04:57	18:04:57	18:04:57	18:04:58	18:04:58	18:04:58	18:04:58	18:04:58	18:04:58	18:04:58	18:04:58	18:05:09	18:05:09	18:05:09	18:05:09	18:05:09	18:05:09			18:05:10	18:05:10		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:10	00:00:00	00:00:00		00:00:01	00:00:13
34	18:05:10	18:05:10	18:05:10	18:05:10	18:05:11	18:05:11	18:05:11	18:05:11	18:05:11	18:05:11	18:05:11	18:05:11	18:05:22	18:05:22	18:05:22	18:05:22	18:05:22	18:05:22			18:05:23	18:05:23		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:10	00:00:00	00:00:00		00:00:01	00:00:12
35	18:05:23	18:05:23	18:05:23	18:05:23	18:05:24	18:05:24	18:05:24	18:05:25	18:05:25	18:05:25	18:05:25	18:05:25	18:05:35	18:05:35	18:05:35	18:05:35	18:05:35	18:05:35			18:05:37	18:05:37		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:10	00:00:00	00:00:00		00:00:01	00:00:13
36	18:05:37	18:05:37	18:05:37	18:05:37	18:05:38	18:05:38	18:05:38	18:05:38	18:05:38	18:05:38	18:05:38	18:05:38	18:05:49	18:05:49	18:05:49	18:05:49	18:05:49	18:05:49			18:05:50	18:05:50		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:10	00:00:00	00:00:00		00:00:01	00:00:12
37	18:05:50	18:05:50	18:05:50	18:05:50	18:05:51	18:05:51	18:05:51	18:05:51	18:05:51	18:05:51	18:05:51	18:05:51	18:06:02	18:06:02	18:06:02	18:06:02	18:06:02	18:06:02			18:06:03	18:06:03		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:10	00:00:00	00:00:00		00:00:01	00:00:12
38	18:06:03	18:06:03	18:06:03	18:06:03	18:06:03	18:06:03	18:06:03	18:06:04	18:06:04	18:06:04	18:06:04	18:06:04	18:06:14	18:06:14	18:06:14	18:06:14	18:06:14	18:06:14			18:06:16	18:06:16		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:10	00:00:00	00:00:00		00:00:01	00:00:12
39	18:06:16	18:06:16	18:06:16	18:06:16	18:06:16	18:06:16	18:06:16	18:06:17	18:06:17	18:06:17	18:06:17	18:06:17	18:06:27	18:06:27	18:06:27	18:06:27	18:06:27	18:06:27			18:06:29	18:06:29		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:10	00:00:00	00:00:00		00:00:01	00:00:12
